Krishna Bakka.
Hashing project code.
This program hashing technique to fill the given data in to a table by using two CRP's.

****** HASH TABLE ******

Index    KEY     Probe
  0.     103       1
  1.      -1       0
  2.     618       2
  3.       3       1
  4.     309       3
  5.     211       1
  6.       6       1
  7.     932       2
  8.     515       5
  9.       9       1
 10.     111       2
 11.       9       2
 12.     109       4
 13.     734       1
 14.       2       7
 15.      -1       0
 16.     206       9
 17.      17       1
 18.       8       6
 19.    2901       2
 20.      12       5
 21.      -1       0
 22.     111       8
 23.      -1       0
 24.      24       1
 25.      -1       0
 26.   15991       1
 27.      -1       0
 28.      22       4
 29.      29       1
 30.      30       1
 31.    8889       1
 32.       0      17
 33.      33       1
 34.      -1       0
 35.     550       1
 36.      -1       0
 37.    8998       1
 38.      38       1
 39.      39       1
 40.    3439       1
 41.    3337       1
 42.      40       2
 43.    2103       1
 44.    4883       2
 45.    2309       2
 46.      -1       0
 47.    9301       9
 48.      48       1
 49.     152       1
 50.      -1       0
 51.      49       2
 52.     155       1
 53.      -1       0
 54.      -1       0
 55.      55       1
 56.    5000       1
 57.     366       1
 58.    5824       2
 59.     780       1
 60.    5103       3
 61.      61       1
 62.    5309       4
 63.    1091       2
 64.     989       2
 65.    9230       2
 66.     581       1
 67.      67       1
 68.      60       5
 69.      69       1
 70.    1100       1
 71.      -1       0
 72.    9033       1
 73.      73       1
 74.    9433       8
 75.    1206       2
 76.    9536       9
 77.     901       1
 78.     799       1
 79.     800       1
 80.     801       1
 81.    1309       5
 82.      78       3
 83.    1103       6
 84.     702       1
 85.      -1       0
 86.     290       2
 87.     190       1
 88.      88       1
 89.    5033       1
 90.      -1       0
 91.      -1       0
 92.    3388       1
 93.      -1       0
 94.     298       2
 95.     301       1
 96.    9982       2
 97.      -1       0
 98.      -1       0
 99.      99       1
100.      -1       0
101.    9577       1
102.     308       1

The total probe count is: 201
